gen	nevals	avg       	std        	min       	max       	ts                
0  	60    	0.0746685 	0.0409935  	0.0120521 	0.115463  	1707877458.0249825
1  	30    	0.0331677 	0.0225201  	0.0120521 	0.115463  	1707884172.43902  
2  	30    	0.0184296 	0.00801763 	0.0120521 	0.0364741 	1707896230.8707075
3  	30    	0.0130292 	0.00185297 	0.00977604	0.0186893 	1707902041.3620596
4  	30    	0.0110774 	0.0012567  	0.00966224	0.0150771 	1707911237.4600494
5  	30    	0.0101518 	0.000704489	0.00944516	0.0137256 	1707920763.0457304
6  	30    	0.00969298	0.000171792	0.00932912	0.0103915 	1707928087.3052738
7  	30    	0.0095636 	0.000138219	0.00932912	0.00978963	1707933367.8323317
8  	30    	0.00942643	0.000113639	0.00929735	0.00966224	1707940586.6668499
